experiment_id,timeframe,window,forward_set,regime,symbols_cached,selected_symbols,cache_hit_rate,min_rows,estimated_windows,estimated_runtime_seconds,classification,needs_director_approval
RC-002-B,1h,W20,fast,no_filter,117,117,1.0,83,42924,0.071852,PARTIAL,True
RC-002-B,1h,W20,fast,spy_qqq_positive,117,117,1.0,83,21462,0.035926,PARTIAL,True
RC-002-B,1h,W20,fast,spy_qqq_negative,117,117,1.0,83,21462,0.035926,PARTIAL,True
RC-002-B,1h,W20,fast,gap_day,117,117,1.0,83,21462,0.035926,PARTIAL,True
RC-002-B,1h,W20,fast,high_rvol,117,117,1.0,83,21462,0.035926,PARTIAL,True
RC-002-B,1h,W20,fast,first_hour,117,117,1.0,83,21462,0.035926,PARTIAL,True
RC-002-B,1h,W20,fast,last_hour,117,117,1.0,83,21462,0.035926,PARTIAL,True
RC-002-B,1h,W20,standard,no_filter,117,117,1.0,83,41871,0.07009,PARTIAL,True
RC-002-B,1h,W20,standard,spy_qqq_positive,117,117,1.0,83,20935,0.035044,PARTIAL,True
RC-002-B,1h,W20,standard,spy_qqq_negative,117,117,1.0,83,20935,0.035044,PARTIAL,True
RC-002-B,1h,W20,standard,gap_day,117,117,1.0,83,20935,0.035044,PARTIAL,True
RC-002-B,1h,W20,standard,high_rvol,117,117,1.0,83,20935,0.035044,PARTIAL,True
RC-002-B,1h,W20,standard,first_hour,117,117,1.0,83,20935,0.035044,PARTIAL,True
RC-002-B,1h,W20,standard,last_hour,117,117,1.0,83,20935,0.035044,PARTIAL,True
RC-002-B,1h,W20,slow,no_filter,117,117,1.0,83,40935,0.068523,PARTIAL,True
RC-002-B,1h,W20,slow,spy_qqq_positive,117,117,1.0,83,20467,0.034261,PARTIAL,True
RC-002-B,1h,W20,slow,spy_qqq_negative,117,117,1.0,83,20467,0.034261,PARTIAL,True
RC-002-B,1h,W20,slow,gap_day,117,117,1.0,83,20467,0.034261,PARTIAL,True
RC-002-B,1h,W20,slow,high_rvol,117,117,1.0,83,20467,0.034261,PARTIAL,True
RC-002-B,1h,W20,slow,first_hour,117,117,1.0,83,20467,0.034261,PARTIAL,True
RC-002-B,1h,W20,slow,last_hour,117,117,1.0,83,20467,0.034261,PARTIAL,True
RC-002-B,1h,W50,fast,no_filter,117,117,1.0,83,39414,0.065977,PARTIAL,True
RC-002-B,1h,W50,fast,spy_qqq_positive,117,117,1.0,83,19707,0.032988,PARTIAL,True
RC-002-B,1h,W50,fast,spy_qqq_negative,117,117,1.0,83,19707,0.032988,PARTIAL,True
RC-002-B,1h,W50,fast,gap_day,117,117,1.0,83,19707,0.032988,PARTIAL,True
RC-002-B,1h,W50,fast,high_rvol,117,117,1.0,83,19707,0.032988,PARTIAL,True
RC-002-B,1h,W50,fast,first_hour,117,117,1.0,83,19707,0.032988,PARTIAL,True
RC-002-B,1h,W50,fast,last_hour,117,117,1.0,83,19707,0.032988,PARTIAL,True
RC-002-B,1h,W50,standard,no_filter,117,117,1.0,83,38361,0.064214,PARTIAL,True
RC-002-B,1h,W50,standard,spy_qqq_positive,117,117,1.0,83,19180,0.032106,PARTIAL,True
RC-002-B,1h,W50,standard,spy_qqq_negative,117,117,1.0,83,19180,0.032106,PARTIAL,True
RC-002-B,1h,W50,standard,gap_day,117,117,1.0,83,19180,0.032106,PARTIAL,True
RC-002-B,1h,W50,standard,high_rvol,117,117,1.0,83,19180,0.032106,PARTIAL,True
RC-002-B,1h,W50,standard,first_hour,117,117,1.0,83,19180,0.032106,PARTIAL,True
RC-002-B,1h,W50,standard,last_hour,117,117,1.0,83,19180,0.032106,PARTIAL,True
RC-002-B,1h,W50,slow,no_filter,117,117,1.0,83,37441,0.062674,PARTIAL,True
RC-002-B,1h,W50,slow,spy_qqq_positive,117,117,1.0,83,18720,0.031336,PARTIAL,True
RC-002-B,1h,W50,slow,spy_qqq_negative,117,117,1.0,83,18720,0.031336,PARTIAL,True
RC-002-B,1h,W50,slow,gap_day,117,117,1.0,83,18720,0.031336,PARTIAL,True
RC-002-B,1h,W50,slow,high_rvol,117,117,1.0,83,18720,0.031336,PARTIAL,True
RC-002-B,1h,W50,slow,first_hour,117,117,1.0,83,18720,0.031336,PARTIAL,True
RC-002-B,1h,W50,slow,last_hour,117,117,1.0,83,18720,0.031336,PARTIAL,True
RC-002-B,1h,W100,fast,no_filter,117,117,1.0,83,33646,0.056321,PARTIAL,True
RC-002-B,1h,W100,fast,spy_qqq_positive,117,117,1.0,83,16823,0.028161,PARTIAL,True
RC-002-B,1h,W100,fast,spy_qqq_negative,117,117,1.0,83,16823,0.028161,PARTIAL,True
RC-002-B,1h,W100,fast,gap_day,117,117,1.0,83,16823,0.028161,PARTIAL,True
RC-002-B,1h,W100,fast,high_rvol,117,117,1.0,83,16823,0.028161,PARTIAL,True
RC-002-B,1h,W100,fast,first_hour,117,117,1.0,83,16823,0.028161,PARTIAL,True
RC-002-B,1h,W100,fast,last_hour,117,117,1.0,83,16823,0.028161,PARTIAL,True
RC-002-B,1h,W100,standard,no_filter,117,117,1.0,83,32611,0.054589,PARTIAL,True
RC-002-B,1h,W100,standard,spy_qqq_positive,117,117,1.0,83,16305,0.027294,PARTIAL,True
RC-002-B,1h,W100,standard,spy_qqq_negative,117,117,1.0,83,16305,0.027294,PARTIAL,True
RC-002-B,1h,W100,standard,gap_day,117,117,1.0,83,16305,0.027294,PARTIAL,True
RC-002-B,1h,W100,standard,high_rvol,117,117,1.0,83,16305,0.027294,PARTIAL,True
RC-002-B,1h,W100,standard,first_hour,117,117,1.0,83,16305,0.027294,PARTIAL,True
RC-002-B,1h,W100,standard,last_hour,117,117,1.0,83,16305,0.027294,PARTIAL,True
RC-002-B,1h,W100,slow,no_filter,117,117,1.0,83,31691,0.053049,PARTIAL,True
RC-002-B,1h,W100,slow,spy_qqq_positive,117,117,1.0,83,15845,0.026524,PARTIAL,True
RC-002-B,1h,W100,slow,spy_qqq_negative,117,117,1.0,83,15845,0.026524,PARTIAL,True
RC-002-B,1h,W100,slow,gap_day,117,117,1.0,83,15845,0.026524,PARTIAL,True
RC-002-B,1h,W100,slow,high_rvol,117,117,1.0,83,15845,0.026524,PARTIAL,True
RC-002-B,1h,W100,slow,first_hour,117,117,1.0,83,15845,0.026524,PARTIAL,True
RC-002-B,1h,W100,slow,last_hour,117,117,1.0,83,15845,0.026524,PARTIAL,True
