pattern_id,ticker,trade_count,event_count,net_pnl,winrate,profit_factor,avg_trade,max_drawdown,first_seen,last_seen,notes
PATTERN_000468,BROS,0,1,0,0.000000,0.000000,-1.000000,1.000000,2022-03-17T00:00:00+00:00,2022-03-17T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000468,CRDO,0,1,0,1.000000,1.125700,1.125700,0.000000,2022-04-18T00:00:00+00:00,2022-04-18T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000468,CROX,0,1,0,1.000000,2.500000,2.500000,0.000000,2021-12-28T00:00:00+00:00,2021-12-28T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000468,FOUR,0,1,0,1.000000,2.500000,2.500000,0.000000,2022-02-09T00:00:00+00:00,2022-02-09T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000468,FUBO,0,1,0,1.000000,2.500000,2.500000,0.000000,2021-12-08T00:00:00+00:00,2021-12-08T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000468,HIMS,0,2,0,0.000000,0.000000,-1.000000,2.000000,2021-10-27T00:00:00+00:00,2021-11-01T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000468,IOVA,0,1,0,1.000000,2.500000,2.500000,0.000000,2022-02-14T00:00:00+00:00,2022-02-14T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000469,ACMR,0,1,0,0.000000,0.000000,-1.000000,1.000000,2022-01-24T00:00:00+00:00,2022-01-24T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000469,AMBA,0,1,0,0.000000,0.000000,-1.000000,1.000000,2022-02-23T00:00:00+00:00,2022-02-23T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000469,ARWR,0,1,0,0.000000,0.000000,-1.000000,1.000000,2022-02-28T00:00:00+00:00,2022-02-28T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000469,ENPH,0,2,0,0.000000,0.000000,-1.000000,2.000000,2022-01-27T00:00:00+00:00,2022-02-01T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000469,FUBO,0,2,0,1.000000,5.000000,2.500000,0.000000,2022-01-31T00:00:00+00:00,2022-02-16T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000469,HIMS,0,1,0,1.000000,1.698100,1.698100,0.000000,2021-09-10T00:00:00+00:00,2021-09-10T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000469,IOVA,0,2,0,1.000000,5.000000,2.500000,0.000000,2021-12-22T00:00:00+00:00,2021-12-31T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000470,ACMR,0,3,0,0.000000,0.000000,-1.000000,3.000000,2021-09-23T00:00:00+00:00,2021-10-01T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000470,AX,0,2,0,0.500000,5.702555,1.030800,0.438400,2021-11-26T00:00:00+00:00,2021-12-06T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000470,CARG,0,1,0,0.000000,0.000000,-1.000000,1.000000,2021-11-01T00:00:00+00:00,2021-11-01T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000470,CROX,0,1,0,0.000000,0.000000,-1.000000,1.000000,2021-08-19T00:00:00+00:00,2021-08-19T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000470,GH,0,1,0,1.000000,2.500000,2.500000,0.000000,2021-09-28T00:00:00+00:00,2021-09-28T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000470,INSP,0,1,0,1.000000,2.500000,2.500000,0.000000,2021-11-04T00:00:00+00:00,2021-11-04T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000470,IOVA,0,2,0,1.000000,5.000000,2.500000,0.000000,2021-10-19T00:00:00+00:00,2021-10-22T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000490,ARWR,0,3,0,0.333333,1.250000,0.166667,2.000000,2022-02-09T00:00:00+00:00,2022-02-28T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000490,BROS,0,1,0,0.000000,0.000000,-1.000000,1.000000,2022-05-25T00:00:00+00:00,2022-05-25T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000490,GH,0,1,0,1.000000,2.500000,2.500000,0.000000,2022-02-17T00:00:00+00:00,2022-02-17T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000490,HIMS,0,1,0,1.000000,2.500000,2.500000,0.000000,2022-01-05T00:00:00+00:00,2022-01-05T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
PATTERN_000490,MNDY,0,1,0,1.000000,2.500000,2.500000,0.000000,2022-02-17T00:00:00+00:00,2022-02-17T00:00:00+00:00,"Aggregated from stored representative examples, not full event ledger."
