trade_id,symbol,signal_date,entry_date,signal_close_to_next_open_pct,next_open_to_close_day1_pct,day1_to_day3_pct,day3_to_day5_pct,day5_to_day10_pct,mae_pct,mfe_pct,net_return_x2_pct
DSS-BO-001-00072,HIMS,2024-09-26,2024-09-27,0.5646527385657629,-0.2245929253228529,6.640405177265052,-6.807387862796832,5.832389580973962,-9.882088714205494,12.240314430095456,4.741044357102764
DSS-BO-001-00073,AEO,2024-09-27,2024-09-30,0.14471780028944004,1.8304431599229343,-3.31125827814569,-3.228962818003911,-0.5561172901921152,-8.477842003853574,2.890173410404606,-5.450481695568399
DSS-BO-001-00074,GOOG,2024-09-30,2024-10-01,0.9991573371855189,-0.26221692491060766,0.08365200764817171,-1.6955223880597003,0.7227013239402336,-4.588796185935651,0.9356376638855801,-1.3620977353992922
DSS-BO-001-00075,GOOGL,2024-09-30,2024-10-01,1.0983009708737779,-0.4081387671808434,0.04218646417164518,-1.6024096385542141,0.6550753030488465,-4.729608066742708,0.8883020226877036,-1.5204489526439044
DSS-BO-001-00076,CRDO,2024-10-04,2024-10-07,-0.7368744243168579,0.6495515001546659,14.443761524277821,2.443609022556381,4.665792922673662,-1.9177234766470708,24.899474172595127,23.307578100835148
DSS-BO-001-00077,FN,2024-10-04,2024-10-07,-1.0665019559398803,0.8490801631565903,4.45315724308708,4.678177723339516,-6.201638168572831,-2.6013485390826596,12.382419046033455,3.2296179139265746
DSS-BO-001-00078,META,2024-10-04,2024-10-07,0.3831029652507034,-2.2478143913920667,-0.1616703644462647,1.1283570776412954,-2.584150994821466,-4.867182246133139,0.7901815736382156,-4.0550773369199655
DSS-BO-001-00079,NVDA,2024-10-07,2024-10-08,1.97616060225847,2.030144570901271,1.4395538136870556,-2.3775912029125656,9.117893294771307,-1.1534912334666303,10.881267302368514,10.0506920947401
DSS-BO-001-00080,AVGO,2024-10-08,2024-10-09,-0.8540285425328586,3.774226453587204,-1.9604630843162996,-3.007853840583752,-1.8721644748176614,-3.6948883599682736,4.034908761192346,-3.367856738070951
DSS-BO-001-00081,CVLT,2024-10-08,2024-10-09,0.0,0.2507679769293558,2.5014070414608236,-10.786407174669034,-9.553443205908497,-17.509873989091584,3.899442041251322,-17.283568428311703
