episode_id,episode_type,policy,offset,symbol,first_signal_date,source_first_signal_date,offset_signal_date,entry_date,exit_date,entry_price,exit_price,holding_days,truncated,gross_return_pct,net_return_x1_pct,net_return_x2_pct,net_return_x3_pct
EPISODE_GAP_5-PANW-00002,EPISODE_GAP_5,EPISODE_GAP_5_ALL_EPISODES,0,PANW,2024-05-14,2024-05-14,2024-05-14,2024-05-15,2024-05-30,152.16,146.59,10,False,-3.660620399579384,-3.760620399579384,-3.860620399579384,-3.9606203995793843
EPISODE_GAP_5-SNPS-00001,EPISODE_GAP_5,EPISODE_GAP_5_ALL_EPISODES,0,SNPS,2024-05-14,2024-05-14,2024-05-14,2024-05-15,2024-05-30,565.8,564.73,10,False,-0.18911276069281113,-0.2891127606928111,-0.38911276069281114,-0.4891127606928111
EPISODE_GAP_5-TMO-00001,EPISODE_GAP_5,EPISODE_GAP_5_ALL_EPISODES,0,TMO,2024-05-14,2024-05-14,2024-05-14,2024-05-15,2024-05-30,595.47,558.51,10,False,-6.20686180664014,-6.306861806640141,-6.406861806640141,-6.50686180664014
EPISODE_GAP_5-ADI-00001,EPISODE_GAP_5,EPISODE_GAP_5_ALL_EPISODES,0,ADI,2024-05-15,2024-05-15,2024-05-15,2024-05-16,2024-05-31,208.71,226.57,10,False,8.557328350342575,8.457328350342575,8.357328350342573,8.257328350342574
EPISODE_GAP_5-GH-00001,EPISODE_GAP_5,EPISODE_GAP_5_ALL_EPISODES,0,GH,2024-05-15,2024-05-15,2024-05-15,2024-05-16,2024-05-31,25.74,27.1,10,False,5.283605283605297,5.1836052836052975,5.083605283605297,4.983605283605296
EPISODE_GAP_5-LRCX-00001,EPISODE_GAP_5,EPISODE_GAP_5_ALL_EPISODES,0,LRCX,2024-05-15,2024-05-15,2024-05-15,2024-05-16,2024-05-31,93.22,91.49,10,False,-1.855824930272476,-1.9558249302724762,-2.0558249302724763,-2.155824930272476
EPISODE_GAP_5-MNDY-00001,EPISODE_GAP_5,EPISODE_GAP_5_ALL_EPISODES,0,MNDY,2024-05-15,2024-05-15,2024-05-15,2024-05-16,2024-05-31,222.84,225.91,10,False,1.3776700771854111,1.277670077185411,1.1776700771854112,1.0776700771854113
EPISODE_GAP_5-MRVL-00001,EPISODE_GAP_5,EPISODE_GAP_5_ALL_EPISODES,0,MRVL,2024-05-15,2024-05-15,2024-05-15,2024-05-16,2024-05-31,70.37,68.4,10,False,-2.7994884183600965,-2.8994884183600966,-2.9994884183600967,-3.0994884183600964
EPISODE_GAP_5-PEP-00002,EPISODE_GAP_5,EPISODE_GAP_5_ALL_EPISODES,0,PEP,2024-05-15,2024-05-15,2024-05-15,2024-05-16,2024-05-31,165.41,159.22,10,False,-3.742216310984825,-3.842216310984825,-3.942216310984825,-4.042216310984825
EPISODE_GAP_5-PG-00001,EPISODE_GAP_5,EPISODE_GAP_5_ALL_EPISODES,0,PG,2024-05-15,2024-05-15,2024-05-15,2024-05-16,2024-05-31,158.39,156.13,10,False,-1.4268577561714735,-1.5268577561714736,-1.6268577561714737,-1.7268577561714733
