period_start,period_end,period_type,pattern_id,event_count,trade_count,gross_pnl,net_pnl,winrate,profit_factor,max_drawdown,market_regime,notes
2021-07-02T00:00:00+00:00,2021-07-02T00:00:00+00:00,day,PATTERN_000004,1,0,0,0,0.000000,0.000000,1.000000,not_persisted,Representative example outcome in R units only; no realized paper PnL.
2022-02-23T00:00:00+00:00,2022-02-23T00:00:00+00:00,day,PATTERN_000469,1,0,0,0,0.000000,0.000000,1.000000,not_persisted,Representative example outcome in R units only; no realized paper PnL.
2022-02-23T00:00:00+00:00,2022-02-23T00:00:00+00:00,day,PATTERN_000475,3,0,0,0,0.000000,0.000000,2.315500,not_persisted,Representative example outcome in R units only; no realized paper PnL.
2022-02-23T00:00:00+00:00,2022-02-23T00:00:00+00:00,day,PATTERN_000481,1,0,0,0,0.000000,0.000000,1.000000,not_persisted,Representative example outcome in R units only; no realized paper PnL.
2022-02-23T00:00:00+00:00,2022-02-23T00:00:00+00:00,day,PATTERN_000490,1,0,0,0,0.000000,0.000000,1.000000,not_persisted,Representative example outcome in R units only; no realized paper PnL.
2022-02-23T00:00:00+00:00,2022-02-23T00:00:00+00:00,day,PATTERN_000495,1,0,0,0,1.000000,2.500000,0.000000,not_persisted,Representative example outcome in R units only; no realized paper PnL.
2022-02-23T00:00:00+00:00,2022-02-23T00:00:00+00:00,day,PATTERN_000515,1,0,0,0,0.000000,0.000000,1.000000,not_persisted,Representative example outcome in R units only; no realized paper PnL.
2022-02-23T00:00:00+00:00,2022-02-23T00:00:00+00:00,day,PATTERN_000516,1,0,0,0,0.000000,0.000000,1.000000,not_persisted,Representative example outcome in R units only; no realized paper PnL.
2022-02-23T00:00:00+00:00,2022-02-23T00:00:00+00:00,day,PATTERN_000517,1,0,0,0,1.000000,2.500000,0.000000,not_persisted,Representative example outcome in R units only; no realized paper PnL.
2022-02-23T00:00:00+00:00,2022-02-23T00:00:00+00:00,day,PATTERN_000539,1,0,0,0,0.000000,0.000000,1.000000,not_persisted,Representative example outcome in R units only; no realized paper PnL.
2022-02-23T00:00:00+00:00,2022-02-23T00:00:00+00:00,day,PATTERN_000550,1,0,0,0,0.000000,0.000000,1.000000,not_persisted,Representative example outcome in R units only; no realized paper PnL.
2022-02-23T00:00:00+00:00,2022-02-23T00:00:00+00:00,day,PATTERN_000562,2,0,0,0,0.000000,0.000000,2.000000,not_persisted,Representative example outcome in R units only; no realized paper PnL.
2022-02-23T00:00:00+00:00,2022-02-23T00:00:00+00:00,day,PATTERN_000566,1,0,0,0,0.000000,0.000000,1.000000,not_persisted,Representative example outcome in R units only; no realized paper PnL.
2022-02-23T00:00:00+00:00,2022-02-23T00:00:00+00:00,day,PATTERN_000567,2,0,0,0,0.000000,0.000000,2.000000,not_persisted,Representative example outcome in R units only; no realized paper PnL.
2022-02-23T00:00:00+00:00,2022-02-23T00:00:00+00:00,day,PATTERN_000584,2,0,0,0,0.000000,0.000000,2.000000,not_persisted,Representative example outcome in R units only; no realized paper PnL.
2022-02-23T00:00:00+00:00,2022-02-23T00:00:00+00:00,day,PATTERN_000585,1,0,0,0,0.000000,0.000000,1.000000,not_persisted,Representative example outcome in R units only; no realized paper PnL.
2022-02-23T00:00:00+00:00,2022-02-23T00:00:00+00:00,day,PATTERN_000598,1,0,0,0,1.000000,2.500000,0.000000,not_persisted,Representative example outcome in R units only; no realized paper PnL.
2022-02-23T00:00:00+00:00,2022-02-23T00:00:00+00:00,day,PATTERN_000607,1,0,0,0,0.000000,0.000000,1.000000,not_persisted,Representative example outcome in R units only; no realized paper PnL.
2022-02-23T00:00:00+00:00,2022-02-23T00:00:00+00:00,day,PATTERN_000619,1,0,0,0,0.000000,0.000000,1.000000,not_persisted,Representative example outcome in R units only; no realized paper PnL.
2022-02-23T00:00:00+00:00,2022-02-23T00:00:00+00:00,day,PATTERN_000621,1,0,0,0,0.000000,0.000000,1.000000,not_persisted,Representative example outcome in R units only; no realized paper PnL.
2022-02-23T00:00:00+00:00,2022-02-23T00:00:00+00:00,day,PATTERN_000635,1,0,0,0,1.000000,2.500000,0.000000,not_persisted,Representative example outcome in R units only; no realized paper PnL.
2022-02-24T00:00:00+00:00,2022-02-24T00:00:00+00:00,day,PATTERN_000240,1,0,0,0,0.000000,0.000000,1.000000,not_persisted,Representative example outcome in R units only; no realized paper PnL.
2022-02-24T00:00:00+00:00,2022-02-24T00:00:00+00:00,day,PATTERN_000317,1,0,0,0,0.000000,0.000000,1.000000,not_persisted,Representative example outcome in R units only; no realized paper PnL.
2022-02-24T00:00:00+00:00,2022-02-24T00:00:00+00:00,day,PATTERN_000369,1,0,0,0,0.000000,0.000000,1.000000,not_persisted,Representative example outcome in R units only; no realized paper PnL.
2022-02-24T00:00:00+00:00,2022-02-24T00:00:00+00:00,day,PATTERN_000492,1,0,0,0,0.000000,0.000000,1.000000,not_persisted,Representative example outcome in R units only; no realized paper PnL.
2022-02-24T00:00:00+00:00,2022-02-24T00:00:00+00:00,day,PATTERN_000567,1,0,0,0,0.000000,0.000000,1.000000,not_persisted,Representative example outcome in R units only; no realized paper PnL.
2022-02-25T00:00:00+00:00,2022-02-25T00:00:00+00:00,day,PATTERN_000694,1,0,0,0,1.000000,2.500000,0.000000,not_persisted,Representative example outcome in R units only; no realized paper PnL.
2022-02-25T00:00:00+00:00,2022-02-25T00:00:00+00:00,day,PATTERN_000745,1,0,0,0,1.000000,2.500000,0.000000,not_persisted,Representative example outcome in R units only; no realized paper PnL.
2022-02-28T00:00:00+00:00,2022-02-28T00:00:00+00:00,day,PATTERN_000110,1,0,0,0,0.000000,0.000000,1.000000,not_persisted,Representative example outcome in R units only; no realized paper PnL.
2022-02-28T00:00:00+00:00,2022-02-28T00:00:00+00:00,day,PATTERN_000116,1,0,0,0,0.000000,0.000000,1.000000,not_persisted,Representative example outcome in R units only; no realized paper PnL.
2022-02-28T00:00:00+00:00,2022-02-28T00:00:00+00:00,day,PATTERN_000127,1,0,0,0,0.000000,0.000000,1.000000,not_persisted,Representative example outcome in R units only; no realized paper PnL.
